Player,testid,Date,TestName,MetricName,MetricValue
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Braking RFD(N/s),17338.843
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Peak Relative Braking Force(%),332.574
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Avg. Braking Force(N),2102.0826
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Braking Net Impulse(N.s),144.2286
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,System Weight(N),901.4535
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,L|R Peak Propulsive Force(%),2.0013
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Flight Time(s),0.738
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,L|R Avg. Landing Force(%),15.7699
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,L|R Avg. Braking RFD(%),6.0057
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Takeoff Velocity(m/s),3.5926
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Avg. Propulsive Force(N),2476.7762
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Unweighting Phase(s),0.35
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Left Avg. Braking RFD(N/s),9190.0826
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Peak Braking Force(N),2998
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,L|R Peak Braking Force(%),1.9918
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Right Avg. Braking Force(N),1187.7615
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Positive Net Impulse(N.s),479.9673
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Right Force at Peak Braking Force(N),1550
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Jump Height(m),0.6439
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Avg. Propulsive Power(W),4730.8922
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Relative Braking Impulse(N.s/kg),2.725
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Time To Takeoff(s),0.687
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Braking Impulse(N.s),250.549
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Avg. Relative Propulsive Force(%),274.5721
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Relative Peak Landing Force(%),563.9834
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,mRSI,0.9374
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,L|R Avg. Braking Force(%),-2.5169
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Propulsive Impulse(N.s),513.541
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Stiffness(N/m),-9364.0617
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Flight Time(s),0.737
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Peak Propulsive Force(N),3143
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Avg. Relative Propulsive Power(W/kg),51.4537
Player3,wHFE15pLSTH0R2yAI25o,2022-02-15 16:46,Countermovement Jump,Impulse Ratio,2.1343
